Day,Samples,Mean,Median,Stdev
19870701,507925,17.1614570618,19.4480895996,9.75336647034
19870702,507997,17.1673278809,19.4504089355,9.77607154846
19870703,508413,17.1248054504,19.3780822754,9.79428958893
19870704,508125,17.1257266998,19.332244873,9.77617359161
19870705,508286,17.1514015198,19.2680969238,9.70924186707
19870706,508421,17.1845703125,19.2625427246,9.62026977539
19870707,508437,17.2099952698,19.1461181641,9.58412265778
19870708,508186,17.2394523621,19.2438659668,9.59068202972
19870709,507968,17.2757701874,19.2724761963,9.59005355835
19870710,507750,17.2773475647,19.3074951172,9.58114528656
19870711,507742,17.2942276001,19.4366455078,9.59013748169
19870712,507773,17.2976150513,19.4639282227,9.61508369446
19870713,507780,17.3122768402,19.4708099365,9.70524311066
19870714,507532,17.3224468231,19.4811553955,9.73073673248
19870715,507364,17.3246669769,19.5190124512,9.6939535141
19870716,507435,17.3070602417,19.4942321777,9.70267105103
19870717,507611,17.2640419006,19.4073181152,9.65979957581
19870718,507731,17.2597694397,19.3042907715,9.58351898193
19870719,508102,17.3191108704,19.2952423096,9.51236438751
19870720,508399,17.3242340088,19.2649536133,9.49200439453
19870721,508665,17.28074646,19.102142334,9.52387809753
19870722,508721,17.2396945953,19.0731506348,9.59039592743
19870723,508983,17.2079620361,19.106842041,9.60063457489
19870724,509624,17.2296524048,19.251663208,9.55058860779
19870725,509912,17.268819809,19.2699432373,9.56405925751
19870726,510235,17.3011989594,19.2910461426,9.63680839539
19870727,510010,17.267326355,19.2720336914,9.703332901
19870728,510164,17.2424659729,19.2059020996,9.7092924118
19870729,510165,17.2154750824,19.0768127441,9.71050453186
19870730,510172,17.2313079834,19.1488952637,9.66638755798
19870731,510502,17.3004894257,19.3417816162,9.60938739777
19870801,509857,17.3547344208,19.4182128906,9.57860660553
19870802,509632,17.386800766,19.4541320801,9.56524848938
19870803,509655,17.3339958191,19.3564147949,9.5659570694
19870804,509718,17.3226623535,19.3838500977,9.53723430634
19870805,509846,17.3448982239,19.4270019531,9.58414077759
19870806,509853,17.3224563599,19.2823791504,9.63706684113
19870807,509605,17.3346576691,19.1616516113,9.53666400909
19870808,509436,17.368768692,19.1075286865,9.47095298767
19870809,509492,17.4018745422,19.1146240234,9.45855712891
19870810,509849,17.3279876709,19.2004699707,9.58511066437
19870811,509961,17.3087234497,19.2662353516,9.61693477631
19870812,509849,17.3552474976,19.2109069824,9.58267974854
19870813,509953,17.3966217041,19.1907653809,9.50429153442
19870814,509874,17.3978157043,19.2578277588,9.51085472107
19870815,509811,17.3523540497,19.3894348145,9.62844657898
19870816,509860,17.3629779816,19.3677368164,9.6389131546
19870817,509973,17.3775100708,19.2338562012,9.65010738373
19870818,509917,17.3679409027,19.294708252,9.68777561188
19870819,509812,17.3418502808,19.3354492188,9.69448566437
19870820,509755,17.3350048065,19.2689208984,9.7227306366
19870821,509643,17.3351764679,19.2738037109,9.72284698486
19870822,509756,17.3513698578,19.2282867432,9.66886425018
19870823,509925,17.3788318634,19.2492675781,9.64411354065
19870824,509973,17.4035072327,19.1534729004,9.63560771942
19870825,510197,17.3505363464,19.000579834,9.631108284
19870826,510423,17.3267974854,19.0104980469,9.64986228943
19870827,510408,17.3739624023,19.2027740479,9.63526630402
19870828,510047,17.4117507935,19.2944641113,9.62406635284
19870829,510055,17.36236763,19.3368530273,9.67145061493
19870830,509992,17.3296852112,19.3404541016,9.6855096817
19870831,510105,17.3150978088,19.2545471191,9.708735466
19870901,510161,17.3447608948,19.1443481445,9.64722251892
19870902,510273,17.3733062744,19.1183776855,9.57096385956
19870903,510280,17.3790912628,19.1312561035,9.57834911346
19870904,509880,17.3473548889,19.1858825684,9.64189910889
19870905,509471,17.3453159332,19.2276916504,9.67475891113
19870906,509520,17.3258476257,19.1837310791,9.66360187531
19870907,509519,17.3438167572,19.3323364258,9.72497367859
19870908,509470,17.3157520294,19.3795318604,9.76080703735
19870909,509293,17.3485622406,19.3749694824,9.76877403259
19870910,509181,17.3831386566,19.5174255371,9.74854755402
19870911,509174,17.3778209686,19.5880126953,9.76282501221
19870912,508836,17.3258705139,19.3650817871,9.76519775391
19870913,508859,17.2736263275,19.1234436035,9.79707717896
19870914,508626,17.2813644409,19.1484985352,9.79417228699
19870915,508490,17.3386154175,19.31640625,9.77690219879
19870916,508490,17.3819293976,19.3721923828,9.70080757141
19870917,508322,17.4101963043,19.2854156494,9.64597511292
19870918,508203,17.3386669159,19.2761230469,9.70321559906
19870919,507787,17.30418396,19.3312072754,9.75145339966
19870920,507554,17.2567596436,19.1865997314,9.74768447876
19870921,507355,17.2542724609,18.9356079102,9.63925361633
19870922,507314,17.2410240173,18.7932739258,9.63092422485
19870923,507723,17.2943267822,18.8519897461,9.58175086975
19870924,507442,17.3311595917,18.9812774658,9.57099151611
19870925,507427,17.3147296906,19.0539245605,9.67805576324
19870926,507322,17.2979297638,19.0833740234,9.70094490051
19870927,507393,17.2975826263,19.1198730469,9.64901256561
19870928,507330,17.2694168091,19.1090240479,9.67594814301
19870929,507315,17.2622776031,19.0697937012,9.6543302536
19870930,507098,17.2411193848,19.2347412109,9.69665241241
19871001,506678,17.2338695526,19.258972168,9.73554706573
19871002,506573,17.2663192749,19.1929321289,9.68075942993
19871003,506396,17.2512168884,19.1298675537,9.65985965729
19871004,505905,17.2638378143,19.0401000977,9.61517524719
19871005,505534,17.2806968689,19.0862121582,9.53287887573
19871006,505350,17.3217449188,19.2046661377,9.51932811737
19871007,505343,17.2921066284,19.2507324219,9.56121635437
19871008,505084,17.3171596527,19.2607269287,9.57943916321
19871009,505148,17.2672328949,19.2091369629,9.59128761292
19871010,505204,17.2734470367,19.1844177246,9.5406370163
19871011,505077,17.2919139862,19.2924499512,9.56782150269
19871012,504709,17.2501392365,19.2983703613,9.66628360748
19871013,504581,17.2545833588,19.1996459961,9.67234325409
19871014,504581,17.2300891876,18.9324951172,9.60440349579
19871015,504476,17.1982727051,18.7183380127,9.53873825073
19871016,504461,17.1838989258,18.686706543,9.52228164673
19871017,504349,17.186882019,18.9010314941,9.60433578491
19871018,504596,17.1879482269,19.022567749,9.69070529938
19871019,504629,17.2369403839,19.0132141113,9.62531375885
19871020,504869,17.2821941376,19.0352478027,9.59262275696
19871021,505053,17.2455558777,19.1131896973,9.68023777008
19871022,504977,17.2639141083,19.1250610352,9.61777877808
19871023,504746,17.2502346039,19.0438995361,9.59638690948
19871024,505189,17.1864948273,19.0126953125,9.6292219162
19871025,505287,17.1548957825,19.1148986816,9.66633033752
19871026,505392,17.1728515625,19.0371856689,9.60223674774
19871027,505448,17.1904373169,18.9955444336,9.53208732605
19871028,505421,17.1931324005,18.9870300293,9.55365467072
19871029,505246,17.1878986359,18.9021148682,9.55468273163
19871030,505294,17.1843395233,18.9342041016,9.56608009338
19871031,505054,17.1833438873,18.9666137695,9.63885879517
19871101,504927,17.1742649078,18.9774169922,9.67658615112
19871102,504638,17.1856403351,18.9271850586,9.65639305115
19871103,504398,17.171081543,18.9735107422,9.69198226929
19871104,504357,17.1750583649,18.9710693359,9.603931427
19871105,504462,17.1641693115,19.1601867676,9.67356491089
19871106,504540,17.2127342224,19.2222290039,9.6973772049
19871107,504236,17.2559986115,19.0787353516,9.60757064819
19871108,504307,17.2431411743,19.1728820801,9.63628864288
19871109,504089,17.2400951385,19.2828674316,9.66241264343
19871110,504089,17.2499275208,19.2956237793,9.70431137085
