Day,Lat1,Lon1,T1,Lat2,Lon2,T2,Lat3,Lon3,T3,Lat4,Lon4,T4,Lat5,Lon5,T5,Lat6,Lon6,T6,Lat7,Lon7,T7,Lat8,Lon8,T8,Lat9,Lon9,T9,Lat10,Lon10,T10,Lat11,Lon11,T11,Lat12,Lon12,T12,Lat13,Lon13,T13,Lat14,Lon14,T14,Lat15,Lon15,T15,Lat16,Lon16,T16,Lat17,Lon17,T17,Lat18,Lon18,T18,Lat19,Lon19,T19,Lat20,Lon20,T20
19870701,97,0,-21.329284668,97,1,-20.9554443359,97,2,-20.5816497803,97,3,-20.2078552246,97,4,-19.8340301514,98,0,-19.7505187988,97,5,-19.4602355957,98,1,-19.3839416504,97,6,-19.0864257812,98,2,-19.0173492432,451,961,30.3756408691,454,963,30.4775695801,453,962,30.5475158691,452,961,30.5835266113,451,960,30.5856628418,454,962,30.738494873,453,961,30.7914428711,452,960,30.8105163574,454,961,30.9993591309,453,960,31.035369873
19870702,97,0,-20.9426422119,97,1,-20.5063934326,97,2,-20.0701446533,97,3,-19.633895874,98,0,-19.4735565186,97,4,-19.1976470947,98,1,-19.0518341064,97,5,-18.7613983154,98,2,-18.6301116943,97,6,-18.3251495361,438,1071,30.3494567871,453,960,30.353729248,439,1066,30.3560791016,438,1072,30.3597412109,439,1067,30.3717346191,439,1068,30.3873901367,439,1069,30.4030151367,439,1070,30.4187011719,439,1071,30.4343261719,439,1072,30.4499816895
19870703,97,0,-23.1114501953,97,1,-22.6875,97,2,-22.2635345459,97,3,-21.8395843506,98,0,-21.5665740967,97,4,-21.4156188965,98,1,-21.1617889404,97,5,-20.9916687012,98,2,-20.7569885254,97,6,-20.5676879883,439,1076,30.5835876465,439,1077,30.5919799805,439,1078,30.6003417969,411,916,30.6070861816,439,1079,30.6087036133,414,915,30.6149597168,410,916,30.6368713379,413,915,30.6485290527,412,915,30.6820983887,411,915,30.7156677246
19870704,97,0,-23.0078735352,97,1,-22.7695770264,97,2,-22.5312805176,97,3,-22.29296875,97,4,-22.0546722412,97,5,-21.8163757324,98,0,-21.6837158203,97,6,-21.5780639648,98,1,-21.4426574707,97,7,-21.3397827148,438,1072,30.6563110352,439,1078,30.6655578613,439,1077,30.6894226074,411,915,30.7035522461,439,1071,30.7047424316,439,1076,30.7133483887,439,1075,30.7372131348,439,1074,30.761138916,410,915,30.7696228027,439,1073,30.7850036621
19870705,112,449,-18.6359405518,112,448,-18.3279418945,112,447,-18.0199279785,97,21,-18.0111999512,97,20,-17.8792724609,105,419,-17.8673553467,97,19,-17.7473754883,112,446,-17.7119445801,97,0,-17.6755065918,97,18,-17.6154632568,439,1072,30.6809387207,411,917,30.6942138672,414,915,30.720703125,412,916,30.7573547363,410,917,30.7772521973,413,915,30.8121032715,411,916,30.8445739746,412,915,30.9035339355,410,916,30.9317932129,411,915,30.9949645996
19870706,112,449,-15.9291687012,120,486,-15.7464294434,112,448,-15.59375,120,485,-15.3787841797,112,447,-15.258392334,105,1311,-15.0155944824,120,484,-15.0110778809,112,446,-14.923034668,105,1310,-14.7474365234,120,483,-14.6434020996,438,1077,30.5156555176,439,1075,30.516998291,437,1079,30.5421447754,438,1080,30.5423278809,439,1076,30.5494384766,438,1078,30.5550842285,439,1077,30.5819091797,439,1080,30.5824890137,438,1079,30.5945129395,439,1078,30.6144104004
19870707,105,1311,-14.152130127,105,1310,-13.964050293,105,1309,-13.7760009766,105,1308,-13.5879211426,105,1307,-13.3998718262,105,1306,-13.2117919922,105,1305,-13.0237121582,106,1311,-12.9847717285,105,1252,-12.8989562988,105,1253,-12.8913269043,454,964,30.474609375,451,960,30.5039672852,452,961,30.5850830078,453,962,30.642364502,454,963,30.6758422852,452,960,30.762512207,453,961,30.8316955566,454,962,30.8770751953,453,960,31.0209960938,454,961,31.0782775879
19870708,112,449,-14.6762084961,112,448,-14.5148925781,112,447,-14.3535461426,112,446,-14.192199707,112,445,-14.0308837891,112,444,-13.8695678711,112,974,-13.7635803223,112,443,-13.7082214355,112,442,-13.5469055176,112,973,-13.4573059082,454,964,31.2273864746,451,960,31.3171386719,452,961,31.3981628418,453,962,31.4515380859,454,963,31.4772033691,452,960,31.6203308105,453,961,31.6875,454,962,31.7270812988,453,960,31.9235229492,454,961,31.9768371582
19870709,105,1395,-13.0933227539,97,381,-13.0922546387,97,380,-12.9815368652,105,1396,-12.891784668,97,379,-12.8708190918,97,378,-12.7601013184,105,1397,-12.6902770996,97,377,-12.6493530273,120,1012,-12.5507202148,97,376,-12.5386047363,451,960,32.0326538086,454,964,32.0720825195,452,961,32.1513977051,453,962,32.2514953613,454,963,32.3328857422,452,960,32.3935546875,453,961,32.5029602051,454,962,32.5937194824,453,960,32.7544250488,454,961,32.8545227051
19870710,112,449,-15.8060302734,112,448,-15.5984802246,112,447,-15.3909912109,105,411,-15.3659362793,112,446,-15.1834411621,105,410,-15.0158081055,112,445,-14.9759521484,112,444,-14.7684326172,105,409,-14.6656188965,112,443,-14.5609130859,453,963,32.3461914062,451,960,32.5529174805,452,961,32.6274719238,453,962,32.6709289551,454,963,32.6833190918,452,960,32.9366149902,453,961,32.9956359863,454,962,33.0235595703,453,960,33.3202819824,454,961,33.3637695312
